pair_id,sample_id,seed,prompt,left_is,fs_before,fs_after,bone_cv_before,bone_cv_after,skate_seg,n_skate_frames,foot
pair_01,012495,20519610,"a person walks quickly forward, moving at a slight angle to the right",corrected,0.04269,0.03942,0.21583,0.23038,"[17, 27]",11,left
pair_02,003224,20319610,person walks seven steps from centre back to slightly right of centre,original,0.04044,0.03763,0.14129,0.23905,"[0, 12]",13,right
pair_03,013130,20532610,a person runs forward with one leg crossing in front of the other repetitively before coming to a stop.,corrected,0.03519,0.03333,0.6406,0.6406,"[29, 42]",14,left
pair_04,001723,20290609,a person taking a huge diagonal step,original,0.03403,0.03288,0.31454,0.31394,"[91, 102]",12,left
pair_05,003539,20326609,a person is pushed by their left arm while walking forward.,original,0.03262,0.02806,0.11442,0.26613,"[31, 45]",15,right
pair_06,000304,20268608,a person is walking in a steady forward motion.,original,0.03076,0.02862,0.12216,0.1926,"[153, 167]",15,left
pair_07,004350,20348610,a person walks forward and turns and walks backwards.,corrected,0.02995,0.0261,0.18404,0.30137,"[41, 57]",17,left
pair_08,014506,20557609,"figure walks forward, raises foot to step up and over, uses other foot to drop down, walks forward and stops.",original,0.02955,0.02685,0.15903,0.24994,"[28, 43]",16,right
pair_09,009924,20468610,the  person is running over a vault.,original,0.02843,0.02391,0.24727,0.24564,"[73, 110]",25,right
pair_10,006185,20396609,the person is running around in a circle.,original,0.0283,0.02706,0.23399,0.23399,"[91, 96]",6,left
pair_11,000687,20275609,a person takes in big steps in a hurry walking into the rectangular area while hands are dangling and swinging.,corrected,0.02797,0.02181,0.2021,0.19741,"[17, 25]",9,left
pair_12,000904,20280608,a person jogs forward and semi circles around to the right and then to the left.,original,0.02795,0.02274,0.22349,0.22089,"[6, 17]",10,right
pair_13,014192,20550608,"a person walks forward and then appears to bump into something, then continues walking forward.",corrected,0.02727,0.02465,0.19457,0.23238,"[13, 26]",14,right
pair_14,013174,20533609,a person walks forward and picks up and moves a heavy object.,original,0.02709,0.02364,0.68799,0.68871,"[71, 106]",24,right
pair_15,011743,20506610,turning body from side to side.,corrected,0.02708,0.01316,0.48059,0.47883,"[32, 195]",104,right
pair_16,009123,20455609,a person moves forward quickly and lifts both legs before landing and continuing to move forward.,original,0.02675,0.02168,0.51652,0.51273,"[73, 96]",22,left
pair_17,005519,20378610,the guy lunges forward just a bit and the video ends.,corrected,0.02629,0.02163,0.33676,0.33749,"[50, 87]",21,left
pair_18,006014,20390608,the man take sideways steps to the right.,corrected,0.02611,0.01498,0.12772,0.47431,"[0, 139]",98,left
pair_19,000629,20272608,"a person walks forward gingerly, then walks to the back of the space and turns around",original,0.02583,0.02401,0.65746,0.65699,"[71, 115]",26,left
pair_20,003962,20336610,a person walks in a circular path.,original,0.02484,0.02252,0.09734,0.22318,"[8, 23]",16,right
