pair_id,session,group,category_pair,trial_id,gif_A,gif_B,user_choice,confidence,comments
P001,1,A_STOP_best,"Original vs B2-large",motion_005,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_005_vs_b2_large.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_005_vs_b2_large.gif,,,
P002,2,C_synthetic_5level,"3-level oracle vs 5-level oracle",014552,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_014552_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_014552_3level_vs_5level.gif,,,
P003,1,A_STOP_best,"Original vs B2-large",motion_006,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_006_vs_b2_large.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_006_vs_b2_large.gif,,,
P004,2,C_synthetic_5level,"3-level oracle vs 5-level oracle",M007140,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007140_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007140_3level_vs_5level.gif,,,
P005,2,C_positive_control,"corrupted vs 5-level oracle [PC]",M007995,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007995_corrupted_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007995_corrupted_vs_5level.gif,,,
P006,1,B_correction_best,"Original vs B2-val-best",motion_002,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_002_vs_b2_small.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_002_vs_b2_small.gif,,,
P007,2,C_positive_control,"corrupted vs 5-level oracle [PC]",012631,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012631_corrupted_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012631_corrupted_vs_5level.gif,,,
P008,1,A_STOP_best,"Original vs oracle(STOP)",motion_005,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_005_vs_oracle.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_005_vs_oracle.gif,,,
P009,1,A_STOP_best,"Original vs B2-large",motion_003,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_003_vs_b2_large.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_003_vs_b2_large.gif,,,
P010,2,C_synthetic_5level,"B2-val-best vs 5-level oracle",001885,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_001885_b2valbest_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_001885_b2valbest_vs_5level.gif,,,
P011,1,A_STOP_best,"Original vs oracle(STOP)",motion_009,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_009_vs_oracle.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_009_vs_oracle.gif,,,
P012,2,C_positive_control,"corrupted vs 5-level oracle [PC]",014552,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_014552_corrupted_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_014552_corrupted_vs_5level.gif,,,
P013,2,C_synthetic_5level,"3-level oracle vs 5-level oracle",012631,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012631_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012631_3level_vs_5level.gif,,,
P014,1,D_negative_control,"NC: Original (STOP) (identical)",motion_003,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_003_vs_oracle.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_003_vs_oracle.gif,,,
P015,1,B_correction_best,"B2-val-best vs oracle",motion_002,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_002_vs_b2_small.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_002_vs_oracle.gif,,,
P016,2,C_synthetic_5level,"B2-val-best vs 5-level oracle",012943,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012943_b2valbest_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012943_b2valbest_vs_5level.gif,,,
P017,1,A_STOP_best,"Original vs B2-large",motion_010,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_010_vs_b2_large.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_010_vs_b2_large.gif,,,
P018,1,D_negative_control,"NC: 5-level oracle (identical)",motion_001,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_001_vs_oracle.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_001_vs_oracle.gif,,,
P019,2,C_synthetic_5level,"3-level oracle vs 5-level oracle",012798,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012798_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012798_3level_vs_5level.gif,,,
P020,2,D_negative_control,"NC: 5-level oracle (identical)",M007995,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007995_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007995_3level_vs_5level.gif,,,
