pair_id,sample_id,seed,gen,u_star,left_is,body_speed_shortfall,realized_improvement_LABEL,prompt
pair_01,004854,20363608,mdm,1.0,original,0.010679,0.5765,the person is walking around.
pair_02,006236,20397610,motiongpt,1.0,original,0.004715,0.1494,"a figure jumps a few times counter-clockwise, then quickly turns clockwise with one big twisting jump, then stumbles backward upon landing."
pair_03,005712,20383608,mdm,1.0,original,-0.003027,0.0519,"sitting down crisscrossed, the right arm chucks forward and chucks forward again."
pair_04,004724,20359609,motiongpt,1.0,corrected,0.004801,0.0044,"a person shifts around in place like a zombie, raising their arms up and down."
pair_05,010956,20496608,mdm,0.75,original,-0.006484,0.3598,the person is holding his head because he feels dizzy.
pair_06,012400,20516609,mdm,0.5,corrected,-0.006231,-0.4316,someone sees something on the ground the they move slowly away from
pair_07,013000,20529609,mdm,1.0,original,0.002831,2.2077,a person stumbles to the right
pair_08,010843,20493608,motiongpt,1.0,original,0.005545,0.102,a person holds their right arm out on something to support them while sticking their right leg up to balance.
pair_09,010116,20474608,mdm,1.0,corrected,0.012062,2.4631,"a man energetically backsteps, then turns to his right and walks forward, then backsteps again, keeping a spring in his step."
pair_10,007409,20421609,momask,1.0,corrected,0.003401,0.3337,the person is trying to hit a bug.
pair_11,006620,20407610,mdm,1.0,original,0.028203,-0.4507,a person walks while touching something with his left hand.
pair_12,004645,20355608,mdm,1.0,corrected,0.010416,2.5285,"a person walks then stops briefly, he does a 180 degree turn and walks in that direction."
pair_13,010447,20486609,motiongpt,1.0,original,0.007932,-0.1516,doing a cartwheel then jumping up and down.
pair_14,004601,20353609,motiongpt,0.5,corrected,0.013172,0.1003,"someone is climbing a ladder,  they walk up 3 steps and then back down."
pair_15,009443,20459608,momask,1.0,corrected,0.002177,-0.0662,a person attempts to get a rock out of their shoe.
pair_16,005278,20374610,momask,0.5,corrected,0.005544,0.1386,the man walks while holding onto the rail.
pair_17,004864,20364609,mdm,1.0,original,0.010142,-0.1608,a person is in a fighting stance with their legs spread and fists raised. they hop forward and kick out with their left foot before returning to their original position.
pair_18,008775,20448609,mdm,0.75,corrected,-0.005532,0.2274,right arm extended out from body at a 90 degree angle and rotated circular both clockwise and counter clockwise
pair_19,000486,20271609,mdm,1.0,corrected,-0.004668,-0.4123,a person walks with arms flapping then brings arms to the front and bends elbows and wrists.
pair_20,005087,20372609,mdm,1.0,original,0.019643,1.5718,a man walks towards the right.
