pair_id,trial_id,category_pair,blind_label_A_gif,blind_label_B_gif,user_choice,confidence,comments
P001,motion_001,"Original vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_001_vs_b2_large.gif,(Original=gray of overlay),,,
P002,motion_001,"Original vs B2-small",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_001_vs_b2_small.gif,,,
P003,motion_001,"B2-small vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_001_vs_b2_large.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_001_vs_b2_small.gif,,,
P004,motion_001,"Original vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_001_vs_oracle.gif,(Original=gray of overlay),,,
P005,motion_001,"B2-val-best vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_001_vs_b2_small.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_001_vs_oracle.gif,,,
P006,motion_002,"Original vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_002_vs_b2_large.gif,(Original=gray of overlay),,,
P007,motion_002,"Original vs B2-small",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_002_vs_b2_small.gif,(Original=gray of overlay),,,
P008,motion_002,"B2-small vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_002_vs_b2_large.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_002_vs_b2_small.gif,,,
P009,motion_002,"Original vs oracle",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_002_vs_oracle.gif,,,
P010,motion_002,"B2-val-best vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_002_vs_b2_small.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_002_vs_oracle.gif,,,
P011,motion_003,"Original vs B2-large",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_003_vs_b2_large.gif,,,
P012,motion_003,"Original vs B2-small",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_003_vs_b2_small.gif,(Original=gray of overlay),,,
P013,motion_003,"B2-small vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_003_vs_b2_large.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_003_vs_b2_small.gif,,,
P014,motion_003,"Original vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_003_vs_oracle.gif,(Original=gray of overlay),,,
P015,motion_003,"B2-val-best vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_003_vs_b2_small.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_003_vs_oracle.gif,,,
P016,motion_004,"Original vs B2-large",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_004_vs_b2_large.gif,,,
P017,motion_004,"Original vs B2-small",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_004_vs_b2_small.gif,(Original=gray of overlay),,,
P018,motion_004,"B2-small vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_004_vs_b2_small.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_004_vs_b2_large.gif,,,
P019,motion_004,"Original vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_004_vs_oracle.gif,(Original=gray of overlay),,,
P020,motion_004,"B2-val-best vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_004_vs_oracle.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_004_vs_b2_small.gif,,,
P021,motion_005,"Original vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_005_vs_b2_large.gif,(Original=gray of overlay),,,
P022,motion_005,"Original vs B2-small",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_005_vs_b2_small.gif,,,
P023,motion_005,"B2-small vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_005_vs_b2_large.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_005_vs_b2_small.gif,,,
P024,motion_005,"Original vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_005_vs_oracle.gif,(Original=gray of overlay),,,
P025,motion_005,"B2-val-best vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_005_vs_oracle.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_005_vs_b2_small.gif,,,
P026,motion_006,"Original vs B2-large",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_006_vs_b2_large.gif,,,
P027,motion_006,"Original vs B2-small",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_006_vs_b2_small.gif,,,
P028,motion_006,"B2-small vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_006_vs_b2_small.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_006_vs_b2_large.gif,,,
P029,motion_006,"Original vs oracle",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_006_vs_oracle.gif,,,
P030,motion_006,"B2-val-best vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_006_vs_oracle.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_006_vs_b2_small.gif,,,
P031,motion_007,"Original vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_007_vs_b2_large.gif,(Original=gray of overlay),,,
P032,motion_007,"Original vs B2-small",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_007_vs_b2_small.gif,(Original=gray of overlay),,,
P033,motion_007,"B2-small vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_007_vs_b2_small.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_007_vs_b2_large.gif,,,
P034,motion_007,"Original vs oracle",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_007_vs_oracle.gif,,,
P035,motion_007,"B2-val-best vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_007_vs_b2_small.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_007_vs_oracle.gif,,,
P036,motion_008,"Original vs B2-large",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_008_vs_b2_large.gif,,,
P037,motion_008,"Original vs B2-small",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_008_vs_b2_small.gif,,,
P038,motion_008,"B2-small vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_008_vs_b2_small.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_008_vs_b2_large.gif,,,
P039,motion_008,"Original vs oracle",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_008_vs_oracle.gif,,,
P040,motion_008,"B2-val-best vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_008_vs_oracle.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_008_vs_b2_small.gif,,,
P041,motion_009,"Original vs B2-large",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_009_vs_b2_large.gif,,,
P042,motion_009,"Original vs B2-small",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_009_vs_b2_small.gif,(Original=gray of overlay),,,
P043,motion_009,"B2-small vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_009_vs_b2_large.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_009_vs_b2_small.gif,,,
P044,motion_009,"Original vs oracle",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_009_vs_oracle.gif,,,
P045,motion_009,"B2-val-best vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_009_vs_oracle.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_009_vs_b2_small.gif,,,
P046,motion_010,"Original vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_010_vs_b2_large.gif,(Original=gray of overlay),,,
P047,motion_010,"Original vs B2-small",(Original=gray of overlay),reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_010_vs_b2_small.gif,,,
P048,motion_010,"B2-small vs B2-large",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_010_vs_b2_small.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_010_vs_b2_large.gif,,,
P049,motion_010,"Original vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_010_vs_oracle.gif,(Original=gray of overlay),,,
P050,motion_010,"B2-val-best vs oracle",reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_010_vs_b2_small.gif,reports\figures\2026-05-25\g2_general_gif_yup_fix\motion_010_vs_oracle.gif,,,
